*Aici este salvata activitatea suspecta a fiecarui jucator.


L  17:49:22 |deathrun_inferno_beta1| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  17:52:38 |deathrun_latexx| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  17:54:38 |deathrun_latexx| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  17:55:28 |deathrun_latexx| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:01:38 |deathrun_latexx| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:04:33 |deathrun_latexx| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:08:14 |deathrun_latexx| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:09:24 |deathrun_latexx| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:25:24 |deathrun_dojo| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:25:24 |deathrun_dojo| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:39:27 |deathrun_dojo| *ROM-Protect : L-am detectat pe "Scooby69" [ VALVE_0:4:2076099306 | 109.103.33.94 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:46:00 |deathrun_laikiux8| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:46:21 |deathrun_laikiux8| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:47:27 |deathrun_laikiux8| *ROM-Protect : L-am detectat pe "Scooby69" [ VALVE_0:4:2076099306 | 109.103.33.94 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  18:52:21 |deathrun_laikiux8| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:06:52 |deathrun_mib-easy| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:12:11 |deathrun_mib-easy| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:12:12 |deathrun_mib-easy| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  20:27:06 |deathrun_skyzzar| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  21:35:34 |deathrun_unreal_air| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:12:34 |deathrun_laikiux_dev| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:12:43 |deathrun_laikiux_dev| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:20:53 |deathrun_holiday| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:21:10 |deathrun_holiday| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:21:12 |deathrun_holiday| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:29:27 |deathrun_holiday| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:33:02 |deathrun_holiday| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:44:06 |deathrun_purplez| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:59:15 |deathrun_purplez| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  22:59:55 |deathrun_purplez| *ROM-Protect : L-am detectat pe "Adyy" [ VALVE_0:4:743693298 | 92.85.251.241 ] ca a incercat sa foloseasca "COLOR_BUG" ca sa alerteze playerii sau adminii.
L  23:01:14 |deathrun_purplez| *ROM-Protect : L-am detectat pe "Bidi" [ STEAM_0:1:45864800 | 93.118.230.155 ] ca a incercat sa foloseasca "CMD_BUG" ca sa strice buna functionare a serverului.
L  23:01:20 |deathrun_purplez| *ROM-Protect : L-am detectat pe "Bidi" [ STEAM_0:1:45864800 | 93.118.230.155 ] ca a incercat sa foloseasca "CMD_BUG" ca sa strice buna functionare a serverului.
