L 12/30/2016 - 00:35:07: Log file started (file "cstrike/addons/amxmodx/logs/TNI_30.12.2016.log") (game "cstrike") (amx "1.8.3-dev+5072")
L 12/30/2016 - 18:10:22: [TNI Systems] CHATBUG: [ Name: Floy | IP: ( 84.232.173.17 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 19:19:21: [TNI Systems] CHATBUG: [ Name: .ryder. | IP: ( 92.115.204.157 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 19:19:24: [TNI Systems] CHATBUG: [ Name: .ryder. | IP: ( 92.115.204.157 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 19:28:14: [TNI Systems] CHATBUG: [ Name: Floy | IP: ( 84.232.173.17 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 19:29:31: [TNI Systems] CHATBUG: [ Name: Floy | IP: ( 84.232.173.17 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 19:38:14: [TNI Systems] CHATBUG: [ Name: Floy | IP: ( 84.232.173.17 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 19:48:01: [TNI Systems] CHATBUG: [ Name: Stifler | IP: ( 46.102.21.185 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 19:58:03: [TNI Systems] CFG FLOOD: SWAGGIE. XD ( 109.98.131.207 ) a incercat sa dea crash serverului.
L 12/30/2016 - 20:12:12: [TNI Systems] CHATBUG: [ Name: Sol | IP: ( 79.118.26.238 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 20:20:37: [TNI Systems] CHATBUG: [ Name: fussioN | IP: ( 109.98.165.188 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 21:27:15: [TNI Systems] CHATBUG: [ Name: none | IP: ( 46.20.139.30 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 21:48:25: [TNI Systems] CHATBUG: [ Name: CsR# Nyku | IP: ( 109.67.60.244 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 21:48:52: [TNI Systems] CHATBUG: [ Name: CsR# Nyku | IP: ( 109.67.60.244 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 21:48:54: [TNI Systems] CFG FLOOD: Valkyrie ( 109.98.161.74 ) a incercat sa dea crash serverului.
L 12/30/2016 - 21:57:42: [TNI Systems] CHATBUG: [ Name: CsR# Nyku | IP: ( 109.67.60.244 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 22:21:41: [TNI Systems] CFG FLOOD: ARSsSURA ( 92.84.180.101 ) a incercat sa dea crash serverului.
L 12/30/2016 - 22:29:23: [TNI Systems] CFG FLOOD: ARSsSURA ( 92.84.180.101 ) a incercat sa dea crash serverului.
L 12/30/2016 - 23:02:41: [TNI Systems] CHATBUG: [ Name: Sol | IP: ( 79.118.26.238 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
L 12/30/2016 - 23:21:07: [TNI Systems] CHATBUG: [ Name: leetecelmaiprostdinlumeaastapli | IP: ( 79.116.132.51 ) | SteamID:  ] incearca sa foloseasca chat-ul pentru a da crash la server. Am blocat comanda cu succes
